--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
6,1,3.2 Aprendiz,11,8.59
7,1_a1,Carlos Alberto Di Franco,4,3.12
8,1_a2,Míriam Leitão,4,3.12
9,1_a3,Eugênio Bucci,1,0.78
10,1_a4,Fabiana Moraes,1,0.78
11,1_a5,José Henrique Mariante,1,0.78
12,2,3.3 Cidadão,75,58.59
13,2_a1,Carlos Alberto Di Franco,33,25.78
14,2_a2,Míriam Leitão,9,7.03
15,2_a3,José Henrique Mariante,8,6.25
16,2_a4,Cristina Tardáguila,7,5.47
17,2_a5,Flávia Lima,5,3.91
18,2_a6,Fabiana Moraes,4,3.12
19,2_a7,FB,4,3.12
20,2_a8,Natália Viana,3,2.34
21,2_a9,Januária Cristina Alves,2,1.56
22,3,3.6 Público a ser mobilizado,7,5.47
23,3_a1,Carlos Alberto Di Franco,6,4.69
24,3_a2,Januária Cristina Alves,1,0.78
25,4,3.5 Vítima da desinformação,9,7.03
26,4_a1,Carlos Alberto Di Franco,5,3.91
27,4_a2,Cristina Tardáguila,4,3.12
28,5,3.4 Cúmplice,2,1.56
29,5_a1,Fabiana Moraes,1,0.78
30,5_a2,Natália Viana,1,0.78

--- Distribuição da Posição-sujeito na Subcategoria: '1.1 Verdade como missão profissional' ---
Total de textos únicos analisados: 14

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
0,0,1.1.2 - Testemunha,1,7.14
1,0_a1,Carlos Alberto Di Franco,1,7.14
2,1,1.1.4 - Especialista,3,21.43
3,1_a1,Carlos Alberto Di Franco,2,14.29
4,1_a2,Cristina Tardáguila,1,7.14
5,2,1.1.5 - Comentarista,5,35.71
6,2_a1,Carlos Alberto Di Franco,3,21.43
7,2_a2,Cristina Tardáguila,1,7.14
8,2_a3,José Henrique Mariante,1,7.14
9,3,1.1.1 - Participante,3,21.43
10,3_a1,Carlos Alberto Di Franco,2,14.29
11,3_a2,Natália Viana,1,7.14
12,4,1.1.3 - Observador,2,14.29
13,4_a1,Carlos Alberto Di Franco,1,7.14
14,4_a2,Míriam Leitão,1,7.14

--- Distribuição do Papel Enunciativo na Subcategoria: '1.1 Verdade como missão profissional' ---
Total de textos únicos analisados: 14

index,Index,Papel Enunciativo / Autor,Quantidade,Porcentagem (%)
0,0,1.2.1 Observador-Intérprete (ou Analista),7,50.0
1,0_a1,Carlos Alberto Di Franco,5,35.71
2,0_a2,Cristina Tardáguila,1,7.14
3,0_a3,Míriam Leitão,1,7.14
4,1,1.2.3 Crítico-Monitor (ou Cão de Guarda),4,28.57
5,1_a1,Carlos Alberto Di Franco,2,14.29
6,1_a2,Cristina Tardáguila,1,7.14
7,1_a3,José Henrique Mariante,1,7.14
8,2,1.2.5 Mobilizador,1,7.14
9,2_a1,Carlos Alberto Di Franco,1,7.14
10,3,1.2.2 Narrador-Testemunha,2,14.29
11,3_a1,Carlos Alberto Di Franco,1,7.14
12,3_a2,Natália Viana,1,7.14

--- Distribuição das Estratégias na Subcategoria: '1.1 Verdade como missão profissional' ---
Total de textos únicos analisados: 14
(Nota: A soma das porcentagens pode ultrapassar 100% pois um texto pode conter múltiplas estratégias)

index,Index,Estratégia / Autor,Quantidade,Porcentagem (%)
0,0,2.1 Ethos e fiador,12,85.71
1,0_a1,Carlos Alberto Di Franco,9,64.29
2,0_a2,Cristina Tardáguila,1,7.14
3,0_a3,José Henrique Mariante,1,7.14
4,0_a4,Natália Viana,1,7.14
5,1,2.2 Discurso relatado,11,78.57
6,1_a1,Carlos Alberto Di Franco,6,42.86
7,1_a2,Cristina Tardáguila,2,14.29
8,1_a3,José Henrique Mariante,1,7.14
9,1_a4,Míriam Leitão,1,7.14
10,1_a5,Natália Viana,1,7.14
11,2,2.3 Polifonia,2,14.29
12,2_a1,Carlos Alberto Di Franco,2,14.29
13,3,2.4 Cenografia,4,28.57
14,3_a1,Carlos Alberto Di Franco,3,21.43
15,3_a2,Natália Viana,1,7.14
16,4,2.5 Autoridade institucional,10,71.43
17,4_a1,Carlos Alberto Di Franco,5,35.71
18,4_a2,Cristina Tardáguila,2,14.29
19,4_a3,José Henrique Mariante,1,7.14
20,4_a4,Míriam Leitão,1,7.14
21,4_a5,Natália Viana,1,7.14

--- Distribuição do Papel do Leitor na Subcategoria: '1.1 Verdade como missão profissional' ---
Total de textos únicos analisados: 14

index,Index,Papel do Leitor / Autor,Quantidade,Porcentagem (%)
0,0,3.1 Parceiro,4,28.57
1,0_a1,Carlos Alberto Di Franco,4,28.57
2,1,3.3 Cidadão,9,64.29
3,1_a1,Carlos Alberto Di Franco,4,28.57
4,1_a2,Cristina Tardáguila,2,14.29
5,1_a3,José Henrique Mariante,1,7.14
6,1_a4,Míriam Leitão,1,7.14
7,1_a5,Natália Viana,1,7.14
8,2,3.6 Público a ser mobilizado,1,7.14
9,2_a1,Carlos Alberto Di Franco,1,7.14

--- Distribuição da Posição-sujeito na Subcategoria: '1.2 Verdade como problema epistemológico' ---
Total de textos únicos analisados: 60

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
0,0,1.1.1 - Participante,3,5.0
1,0_a1,Natália Viana,2,3.33
2,0_a2,Carlos Alberto Di Franco,1,1.67
3,1,1.1.5 - Comentarista,25,41.67
4,1_a1,Carlos Alberto Di Franco,17,28.33
5,1_a2,Míriam Leitão,4,6.67
6,1_a3,FB,3,5.0
7,1_a4,Fabiana Moraes,1,1.67
8,2,1.1.3 - Observador,30,50.0
9,2_a1,Míriam Leitão,8,13.33
10,2_a2,Cristina Tardáguila,6,10.0
11,2_a3,Flávia Lima,5,8.33
12,2_a4,José Henrique Mariante,4,6.67
13,2_a5,Januária Cristina Alves,2,3.33
14,2_a6,Fabiana Moraes,2,3.33
15,2_a7,Carlos Alberto Di Franco,1,1.67
16,2_a8,FB,1,1.67
17,2_a9,Natália Viana,1,1.67
18,3,1.1.4 - Especialista,2,3.33
19,3_a1,Eugênio Bucci,1,1.67
20,3_a2,Fabiana Moraes,1,1.67

--- Distribuição do Papel Enunciativo na Subcategoria: '1.2 Verdade como problema epistemológico' ---
Total de textos únicos analisados: 60

index,Index,Papel Enunciativo / Autor,Quantidade,Porcentagem (%)
0,0,1.2.5 Mobilizador,1,1.67
1,0_a1,Carlos Alberto Di Franco,1,1.67
2,1,1.2.1 Observador-Intérprete (ou Analista),39,65.0
3,1_a1,Carlos Alberto Di Franco,12,20.0
4,1_a2,Míriam Leitão,10,16.67
5,1_a3,Cristina Tardáguila,5,8.33
6,1_a4,Fabiana Moraes,3,5.0
7,1_a5,FB,3,5.0
8,1_a6,Januária Cristina Alves,2,3.33
9,1_a7,José Henrique Mariante,2,3.33
10,1_a8,Flávia Lima,1,1.67
11,1_a9,Eugênio Bucci,1,1.67
12,2,1.2.3 Crítico-Monitor (ou Cão de Guarda),18,30.0
13,2_a1,Carlos Alberto Di Franco,6,10.0
14,2_a2,Flávia Lima,4,6.67
15,2_a3,Natália Viana,3,5.0
16,2_a4,José Henrique Mariante,2,3.33
17,2_a5,Cristina Tardáguila,1,1.67
18,2_a6,Fabiana Moraes,1,1.67
19,2_a7,Míriam Leitão,1,1.67
20,3,1.2.6 Historiador (ou Intérprete do “Tempo Duplo”),1,1.67
21,3_a1,FB,1,1.67
22,4,1.2.4 Militante,1,1.67
23,4_a1,Míriam Leitão,1,1.67

--- Distribuição das Estratégias na Subcategoria: '1.2 Verdade como problema epistemológico' ---
Total de textos únicos analisados: 60
(Nota: A soma das porcentagens pode ultrapassar 100% pois um texto pode conter múltiplas estratégias)

index,Index,Estratégia / Autor,Quantidade,Porcentagem (%)
0,0,2.1 Ethos e fiador,54,90.0
1,0_a1,Carlos Alberto Di Franco,19,31.67
2,0_a2,Míriam Leitão,9,15.0
3,0_a3,Cristina Tardáguila,4,6.67
4,0_a4,FB,4,6.67
5,0_a5,Fabiana Moraes,4,6.67
6,0_a6,Flávia Lima,4,6.67
7,0_a7,José Henrique Mariante,4,6.67
8,0_a8,Natália Viana,3,5.0
9,0_a9,Januária Cristina Alves,2,3.33
10,0_a10,Eugênio Bucci,1,1.67
11,1,2.2 Discurso relatado,49,81.67
12,1_a1,Carlos Alberto Di Franco,12,20.0
13,1_a2,Míriam Leitão,10,16.67
14,1_a3,Cristina Tardáguila,6,10.0
15,1_a4,Flávia Lima,5,8.33
16,1_a5,José Henrique Mariante,4,6.67
17,1_a6,Fabiana Moraes,4,6.67
18,1_a7,Natália Viana,3,5.0
19,1_a8,FB,2,3.33
20,1_a9,Januária Cristina Alves,2,3.33
21,1_a10,Eugênio Bucci,1,1.67
22,2,2.5 Autoridade institucional,31,51.67
23,2_a1,Carlos Alberto Di Franco,7,11.67
24,2_a2,Cristina Tardáguila,5,8.33
25,2_a3,Flávia Lima,5,8.33
26,2_a4,Míriam Leitão,5,8.33
27,2_a5,José Henrique Mariante,4,6.67
28,2_a6,Fabiana Moraes,2,3.33
29,2_a7,Eugênio Bucci,1,1.67
30,2_a8,Januária Cristina Alves,1,1.67
31,2_a9,Natália Viana,1,1.67
32,3,2.3 Polifonia,40,66.67
33,3_a1,Carlos Alberto Di Franco,13,21.67
34,3_a2,Míriam Leitão,7,11.67
35,3_a3,Fabiana Moraes,4,6.67
36,3_a4,FB,3,5.0
37,3_a5,Cristina Tardáguila,3,5.0
38,3_a6,Flávia Lima,3,5.0
39,3_a7,José Henrique Mariante,3,5.0
40,3_a8,Natália Viana,3,5.0
41,3_a9,Januária Cristina Alves,1,1.67
42,4,2.4 Cenografia,8,13.33
43,4_a1,Carlos Alberto Di Franco,3,5.0
44,4_a2,Míriam Leitão,2,3.33
45,4_a3,Natália Viana,2,3.33
46,4_a4,FB,1,1.67

--- Distribuição do Papel do Leitor na Subcategoria: '1.2 Verdade como problema epistemológico' ---
Total de textos únicos analisados: 60

index,Index,Papel do Leitor / Autor,Quantidade,Porcentagem (%)
0,0,3.1 Parceiro,13,21.67
1,0_a1,Carlos Alberto Di Franco,10,16.67
2,0_a2,Cristina Tardáguila,1,1.67
3,0_a3,Fabiana Moraes,1,1.67
4,0_a4,Natália Viana,1,1.67
5,1,3.3 Cidadão,37,61.67
6,1_a1,Carlos Alberto Di Franco,8,13.33
7,1_a2,Míriam Leitão,8,13.33
8,1_a3,Flávia Lima,5,8.33
9,1_a4,FB,4,6.67
10,1_a5,Cristina Tardáguila,4,6.67
11,1_a6,José Henrique Mariante,4,6.67
12,1_a7,Fabiana Moraes,2,3.33
13,1_a8,Januária Cristina Alves,1,1.67
14,1_a9,Natália Viana,1,1.67
15,2,3.2 Aprendiz,7,11.67
16,2_a1,Míriam Leitão,4,6.67
17,2_a2,Carlos Alberto Di Franco,1,1.67
18,2_a3,Eugênio Bucci,1,1.67
19,2_a4,Fabiana Moraes,1,1.67
20,3,3.5 Vítima da desinformação,1,1.67
21,3_a1,Cristina Tardáguila,1,1.67
22,4,3.6 Público a ser mobilizado,1,1.67
23,4_a1,Januária Cristina Alves,1,1.67
24,5,3.4 Cúmplice,1,1.67
25,5_a1,Natália Viana,1,1.67

--- Distribuição da Posição-sujeito na Subcategoria: '1.3 Verdade, valores profissionais e fronteiras do campo' ---
Total de textos únicos analisados: 54

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
0,0,1.1.5 - Comentarista,34,62.96
1,0_a1,Carlos Alberto Di Franco,32,59.26
2,0_a2,José Henrique Mariante,2,3.7
3,1,1.1.1 - Participante,6,11.11
4,1_a1,Carlos Alberto Di Franco,4,7.41
5,1_a2,Cristina Tardáguila,1,1.85
6,1_a3,Fabiana Moraes,1,1.85
7,2,1.1.4 - Especialista,3,5.56
8,2_a1,Carlos Alberto Di Franco,2,3.7
9,2_a2,José Henrique Mariante,1,1.85
10,3,1.1.3 - Observador,11,20.37
11,3_a1,Cristina Tardáguila,3,5.56
12,3_a2,Carlos Alberto Di Franco,2,3.7
13,3_a3,Fabiana Moraes,2,3.7
14,3_a4,José Henrique Mariante,2,3.7
15,3_a5,Januária Cristina Alves,1,1.85
16,3_a6,Natália Viana,1,1.85

--- Distribuição do Papel Enunciativo na Subcategoria: '1.3 Verdade, valores profissionais e fronteiras do campo' ---
Total de textos únicos analisados: 54

index,Index,Papel Enunciativo / Autor,Quantidade,Porcentagem (%)
0,0,1.2.1 Observador-Intérprete (ou Analista),17,31.48
1,0_a1,Carlos Alberto Di Franco,12,22.22
2,0_a2,José Henrique Mariante,2,3.7
3,0_a3,Fabiana Moraes,1,1.85
4,0_a4,Januária Cristina Alves,1,1.85
5,0_a5,Natália Viana,1,1.85
6,1,1.2.3 Crítico-Monitor (ou Cão de Guarda),30,55.56
7,1_a1,Carlos Alberto Di Franco,21,38.89
8,1_a2,Cristina Tardáguila,4,7.41
9,1_a3,José Henrique Mariante,3,5.56
10,1_a4,Fabiana Moraes,2,3.7
11,2,1.2.4 Militante,6,11.11
12,2_a1,Carlos Alberto Di Franco,6,11.11
13,3,1.2.5 Mobilizador,1,1.85
14,3_a1,Carlos Alberto Di Franco,1,1.85

--- Distribuição das Estratégias na Subcategoria: '1.3 Verdade, valores profissionais e fronteiras do campo' ---
Total de textos únicos analisados: 54
(Nota: A soma das porcentagens pode ultrapassar 100% pois um texto pode conter múltiplas estratégias)

index,Index,Estratégia / Autor,Quantidade,Porcentagem (%)
0,0,2.1 Ethos e fiador,53,98.15
1,0_a1,Carlos Alberto Di Franco,40,74.07
2,0_a2,José Henrique Mariante,5,9.26
3,0_a3,Cristina Tardáguila,3,5.56
4,0_a4,Fabiana Moraes,3,5.56
5,0_a5,Januária Cristina Alves,1,1.85
6,0_a6,Natália Viana,1,1.85
7,1,2.2 Discurso relatado,33,61.11
